,ridge,lasso,elastic net,lars,OMP,Pool-AVG,KitchenSink
0.6,0.04683220478232819,0.03988367612893795,0.04110448749791762,0.0011161440987812465,0.038509227141548696,0.039582734961006394,-0.010190485528830617
0.61,0.04700525816402845,0.040116105056882234,0.04135531512984958,0.0009786653614431984,0.038699806303822415,0.03980315866731232,-0.011440053617723267
0.62,0.04715839405836353,0.04033436024687609,0.04159190514998734,0.0008360692097113542,0.038875590669698146,0.040009179470566036,-0.012725022580826861
0.63,0.04729161246533098,0.04053844169891796,0.04181425755833201,0.0006883556435872684,0.039036580239177776,0.040200797370769425,-0.014045392418140068
0.64,0.04740491338493291,0.04072834941300729,0.042022372354883375,0.0005355246630697197,0.03918277501226208,0.040378012367921934,-0.015401163129663109
0.65,0.047498296817168995,0.04090408338914442,0.04221624953964054,0.000377576268158486,0.03931417498894907,0.04054082446202345,-0.016792334715397983
0.66,0.04757176276203823,0.04106564362732956,0.0423958891126065,0.0002145104588548996,0.03943078016924073,0.040689233653074974,-0.01821890717534136
0.67,0.04762531121954183,0.0412130301275625,0.04256129107377715,4.6327235158516444e-05,0.03953259055313696,0.040823239941075506,-0.019680880509495458
0.68,0.04765894218967737,0.04134624288984379,0.042712455423153495,-0.00012697340293121862,0.039619606140635644,0.0409428433260256,-0.021178254717859835
0.6900000000000001,0.047672655672448494,0.04146528191417398,0.042849382160737526,-0.00030539145541319535,0.03969182693173712,0.04104804380792482,-0.02271102980043538
0.7000000000000001,0.04766645166785255,0.04157014720055052,0.04297207128652958,-0.0004889269222878578,0.039749252926443934,0.04113884138677337,-0.024279205757219646
0.7100000000000001,0.04764033017588909,0.04166083874897519,0.043080522800525545,-0.0006775798035563163,0.03979188412475343,0.04121523606257038,-0.02588278258821508
0.7200000000000001,0.047594291196561445,0.0417373565594491,0.043174736702728644,-0.0008713500992179046,0.03981972052666782,0.041277227835318064,-0.027521760293421016
0.7300000000000001,0.047528334729867394,0.041799700631969694,0.04325471299314021,-0.0010702378092719567,0.03983276213218434,0.0413248167050142,-0.02919613887283612
0.7400000000000001,0.047442460775805384,0.041847870966539524,0.043320451671756355,-0.0012742429337193606,0.03983100894130509,0.04135800267166012,-0.0309059183264615
0.7500000000000001,0.04733666933437952,0.04188186756315626,0.043371952738579744,-0.0014833654725594503,0.03981446095403052,0.04137678573525527,-0.03265109865429827
0.7600000000000001,0.0472109604055857,0.041901690421821236,0.0434092161936086,-0.0016976054257920037,0.03978311817035918,0.04138116589579954,-0.03443167985634532
0.7700000000000001,0.04706533398942625,0.041907339542535005,0.04343224203684515,-0.0019169627934185751,0.039736980590291515,0.04137114315329382,-0.036247661932601094
0.7800000000000001,0.04689979008589984,0.0418988149252949,0.04344103026828827,-0.0021414375754376103,0.039676048213826975,0.041346717507736996,-0.038099044883068034
0.7900000000000001,0.04671432869500769,0.04187611657010437,0.0434355808879372,-0.002371029771849553,0.03960032104096689,0.041307888959129846,-0.03998582870774614
